Sample,Gate,X Parameter,X Median
A4-2,All Events,PHO5pr-mCherry-A,8406
A4-2,singlets,PHO5pr-mCherry-A,4538
A4-2,All Events,FSC-A,888973
A4-2,All Events,FSC-A,888973
A4-2,All Events,chimera-GFP-A,4791
A4-2,singlets,chimera-GFP-A,2677
A4-2,All Events,chimera-GFP-H,4021
A4-3,cells,FSC-A,538533
A4-3,All Events,FSC-A,904351
A4-3,singlets,FSC-A,534305
A4-3,All Events,FSC-A,904351
A4-3,cells,FSC-A,538533
A4-3,All Events,PHO5pr-mCherry-A,7930
A4-3,singlets,PHO5pr-mCherry-A,4319
A4-3,All Events,FSC-A,904351
A4-3,All Events,FSC-A,904351
A4-3,All Events,chimera-GFP-A,5119
A4-3,singlets,chimera-GFP-A,2881
A4-3,All Events,chimera-GFP-H,4277
A17-1-yH295-pH193,cells,FSC-A,498816
A17-1-yH295-pH193,All Events,FSC-A,844179
A17-1-yH295-pH193,singlets,FSC-A,489507
A17-1-yH295-pH193,All Events,FSC-A,844179
A17-1-yH295-pH193,cells,FSC-A,498816
A17-1-yH295-pH193,All Events,PHO5pr-mCherry-A,10287
A17-1-yH295-pH193,singlets,PHO5pr-mCherry-A,5479
A17-1-yH295-pH193,All Events,FSC-A,844179
A17-1-yH295-pH193,All Events,FSC-A,844179
A17-1-yH295-pH193,All Events,chimera-GFP-A,4703
A17-1-yH295-pH193,singlets,chimera-GFP-A,2671
A17-1-yH295-pH193,All Events,chimera-GFP-H,3938
A17-2,cells,FSC-A,493252
A17-2,All Events,FSC-A,735724
A17-2,singlets,FSC-A,487965
A17-2,All Events,FSC-A,735724
A17-2,cells,FSC-A,493252
A17-2,All Events,PHO5pr-mCherry-A,8225
A17-2,singlets,PHO5pr-mCherry-A,5145
A17-2,All Events,FSC-A,735724
A17-2,All Events,FSC-A,735724
A17-2,All Events,chimera-GFP-A,3815
A17-2,singlets,chimera-GFP-A,2467
A17-2,All Events,chimera-GFP-H,3352
A17-3,cells,FSC-A,535757
A17-3,All Events,FSC-A,788615
A17-3,singlets,FSC-A,532586
A17-3,All Events,FSC-A,788615
A17-3,cells,FSC-A,535757
A17-3,All Events,PHO5pr-mCherry-A,7493
A17-3,singlets,PHO5pr-mCherry-A,4812
A17-3,All Events,FSC-A,788615
A17-3,All Events,FSC-A,788615
A17-3,All Events,chimera-GFP-A,3371
A17-3,singlets,chimera-GFP-A,2162
A17-3,All Events,chimera-GFP-H,2990
A18-1-yH295-pH194,cells,FSC-A,631583
A18-1-yH295-pH194,All Events,FSC-A,1016366
A18-1-yH295-pH194,singlets,FSC-A,627298
A18-1-yH295-pH194,All Events,FSC-A,1016366
A18-1-yH295-pH194,cells,FSC-A,631583
A18-1-yH295-pH194,All Events,PHO5pr-mCherry-A,3005
A18-1-yH295-pH194,singlets,PHO5pr-mCherry-A,1656
A18-1-yH295-pH194,All Events,FSC-A,1016366
A18-1-yH295-pH194,All Events,FSC-A,1016366
A18-1-yH295-pH194,All Events,chimera-GFP-A,2643
A18-1-yH295-pH194,singlets,chimera-GFP-A,1507
A18-1-yH295-pH194,All Events,chimera-GFP-H,2154
A18-2,cells,FSC-A,565590
A18-2,All Events,FSC-A,817073
A18-2,singlets,FSC-A,561158
A18-2,All Events,FSC-A,817073
A18-2,cells,FSC-A,565590
A18-2,All Events,PHO5pr-mCherry-A,2717
A18-2,singlets,PHO5pr-mCherry-A,1707
A18-2,All Events,FSC-A,817073
A18-2,All Events,FSC-A,817073
A18-2,All Events,chimera-GFP-A,2282
A18-2,singlets,chimera-GFP-A,1482
A18-2,All Events,chimera-GFP-H,1947
A18-3,cells,FSC-A,567371
A18-3,All Events,FSC-A,926570
A18-3,singlets,FSC-A,562945
A18-3,All Events,FSC-A,926570
A18-3,cells,FSC-A,567371
A18-3,All Events,PHO5pr-mCherry-A,3410
A18-3,singlets,PHO5pr-mCherry-A,1800
A18-3,All Events,FSC-A,926570
A18-3,All Events,FSC-A,926570
A18-3,All Events,chimera-GFP-A,2724
A18-3,singlets,chimera-GFP-A,1530
A18-3,All Events,chimera-GFP-H,2237
A12-1-yH295-pH188,cells,FSC-A,570860
A12-1-yH295-pH188,All Events,FSC-A,968382
A12-1-yH295-pH188,singlets,FSC-A,567598
A12-1-yH295-pH188,All Events,FSC-A,968382
A12-1-yH295-pH188,cells,FSC-A,570860
A12-1-yH295-pH188,All Events,PHO5pr-mCherry-A,19612
A12-1-yH295-pH188,singlets,PHO5pr-mCherry-A,11478
A12-1-yH295-pH188,All Events,FSC-A,968382
A12-1-yH295-pH188,All Events,FSC-A,968382
A12-1-yH295-pH188,All Events,chimera-GFP-A,2343
A12-1-yH295-pH188,singlets,chimera-GFP-A,1310
A12-1-yH295-pH188,All Events,chimera-GFP-H,1933
A12-2,cells,FSC-A,565950
A12-2,All Events,FSC-A,978233
A12-2,singlets,FSC-A,562387
A12-2,All Events,FSC-A,978233
A12-2,cells,FSC-A,565950
A12-2,All Events,PHO5pr-mCherry-A,20128
A12-2,singlets,PHO5pr-mCherry-A,11366
A12-2,All Events,FSC-A,978233
A12-2,All Events,FSC-A,978233
A12-2,All Events,chimera-GFP-A,2433
A12-2,singlets,chimera-GFP-A,1333
A12-2,All Events,chimera-GFP-H,2007
A12-3,cells,FSC-A,575844
A12-3,All Events,FSC-A,967778
A12-3,singlets,FSC-A,572735
A12-3,All Events,FSC-A,967778
A12-3,cells,FSC-A,575844
A12-3,All Events,PHO5pr-mCherry-A,20098
A12-3,singlets,PHO5pr-mCherry-A,11839
A12-3,All Events,FSC-A,967778
A12-3,All Events,FSC-A,967778
A12-3,All Events,chimera-GFP-A,2359
A12-3,singlets,chimera-GFP-A,1318
A12-3,All Events,chimera-GFP-H,1953
pos,cells,FSC-A,621681
pos,All Events,FSC-A,966423
pos,singlets,FSC-A,617925
pos,All Events,FSC-A,966423
pos,cells,FSC-A,621681
pos,All Events,PHO5pr-mCherry-A,16077
pos,singlets,PHO5pr-mCherry-A,10541
pos,All Events,FSC-A,966423
pos,All Events,FSC-A,966423
pos,All Events,chimera-GFP-A,2762
pos,singlets,chimera-GFP-A,1772
pos,All Events,chimera-GFP-H,2351
